committee,id
"['doc. dr. Aleš Mohorič', 'prof. dr. Janez Dolinšek']",31673
"['doc. dr. Aleš Mohorič', 'doc. dr. Tomaž Podobnik', 'doc. dr.\xa0Miha Mihovilovič in', 'prof. dr.\xa0Simon Širca\xa0(mentor)']",34001
"['doc. dr. Aleš Mohorič', 'prof.\xa0dr.\xa0Borut P. Kerševan', 'doc. dr.\xa0Dušan Ponikvar in', 'prof. dr.\xa0Simon Širca\xa0(mentor)']",34084
"['doc. dr. Tomaž Podobnik', 'prof.\xa0dr.\xa0Dean Cvetko', 'doc. dr.\xa0Andreja Šarlah', 'doc. dr.\xa0Aleš Mohorič (mentor) in', 'Peter Kogej \xa0(somentor)']",33946
"['doc. dr. Aleš Mohorič', 'doc.\xa0dr.\xa0Miha Mihovilovič', 'doc. dr.\xa0Andrej Mihelič', 'prof. dr.\xa0Matej Lipoglavšek\xa0(mentor) in', 'doc. dr. Matjaž Vencelj (somentor)']",33940
"['doc. dr. Aleš Mohorič', 'prof.\xa0dr.\xa0Simon Širca', 'doc. dr. Matjaž Kavčič', 'doc. dr.\xa0MIha Mihovilovič\xa0(mentor) in', 'doc. dr. Matjaž Vencelj (somentor)']",33931
"['doc. dr. Aleš Mohorič', 'doc.\xa0dr.\xa0Tomaž Rejec', 'doc. dr. Andrej Šarlah', 'prof. dr.\xa0Primož Ziherl\xa0(mentor) in', 'doc. dr. Bojan Božič (somentor)']",31669
"['doc. dr. Aleš Mohorič', 'prof.\xa0dr.\xa0Simon Širca', 'doc. dr. Matjaž Kavčič', 'prof. dr.\xa0Žiga Šmit (mentor)']",33909
"['doc. dr. Tomaž Podobnik', 'prof.\xa0dr.\xa0Janez Dolinšek', 'doc. dr. Gregor Skačej', 'izr. prof. dr.\xa0Miha Škarabot\xa0(mentor) in', 'Marion Antonia Van Midden, mag. fiz. \xa0(somentorica)']",33823
"['prof. dr. Borut Paul Kerševan', 'prof.\xa0dr.\xa0Janez Dolinšek', 'doc. dr. Andreja Šarlah', 'doc. dr. Aleš Mohorič (mentor) in', 'dr. Miha Okorn (somentor)']",33763
"['doc. dr. Aleš Mohorič', 'prof. dr. Borut Paul Kerševan', 'doc.\xa0dr.\xa0Matija Milanič', 'doc. dr. Andrej Studen (mentor) in', 'dr.\xa0Daša Grabec (somentorica)']",33410
"['doc. dr. Aleš Mohorič', 'prof. dr. Janez Dolinšek', 'doc.\xa0dr.\xa0Gregor Skačej', 'prof. ddr. Tomaž Gyergyek (mentor) in', 'dr.\xa0Jernej Kovačič (mentor)']",33016
"['doc. dr. Aleš Mohorič', 'prof. dr. Borut P. Kerševan', 'izr. prof.\xa0dr.\xa0Miha Ravnik', 'prof. dr. Ivo Kljenak (mentor)', 'doc. dr.\xa0Hana Uršič Nemevšek\xa0(mentorica)']",32905
"['doc. dr. Aleš Mohorič', 'prof. dr. Žiga Šmit', 'doc.\xa0dr.\xa0Tomaž Rejec in', 'doc. dr.\xa0Matija Milanič (mentor)']",32894
"['doc. dr. Aleš Mohorič', 'prof. dr. Žiga Šmit', 'doc.\xa0dr.\xa0Andreja Šarlah', 'izr. prof. dr.\xa0Daniel Svenšek\xa0(mentor) in', 'izr. prof. dr.\xa0Jurij Prezelj\xa0(somentor)']",31592
"['doc. dr. Aleš Mohorič', 'prof. dr. Borut Paul Kerševan', 'izr. prof.\xa0dr.\xa0Marko Žnidarič', 'doc. dr. Andrej Zorko (mentor) in', 'doc. dr.\xa0Matej Pregelj (somentor)']",32774
"['doc. dr. Aleš Mohorič', 'prof. dr. Žiga Šmit', 'doc. dr.\xa0Andreja Šarlah', 'izr. prof.\xa0dr.\xa0Daniel Svenšek\xa0(mentor) in', 'doc. dr.\xa0Marjetka Conradi \xa0(somentorica)']",31242
"['prof. dr. Borut Paul Kerševan', 'doc. dr. Miha Ravnik', 'doc. dr. Tomaž Rejec', 'doc. dr.\xa0Aleš Mohorič\xa0(mentor) in', 'dr. Franci Bajd\xa0(somentor)']",32070
"['prof. dr. Žiga Šmit', 'prof. dr. Borut Paul Kerševan', 'prof. dr. Janez Dolinšek', 'doc. dr.\xa0Andrej Studen\xa0(mentor) in', 'Damijan Valentinuzzi, mag. med. fiz.\xa0(somentor)']",31987
"['prof. dr. Žiga Šmit', 'prof. dr. Janez Dolinšek', 'doc. dr.\xa0Tomaž Podobnik', 'doc. dr.\xa0Matej Lipoglavšek (mentor) in', 'dr.\xa0Benjamin Zorko\xa0(somentor)']",31986
"['prof. dr. Žiga Šmit', 'doc. dr. Aleš Mohorič', 'prof. dr.\xa0Simon Širca', 'prof. dr.\xa0Zvonko Jagličić\xa0(mentor) in', 'dr.\xa0Stanislav Vrtnik (somentor)']",31932
"['prof. dr. Žiga Šmit', 'doc. dr. Aleš Mohorič', 'prof. dr.\xa0Marko Žnidarič', 'prof. dr.\xa0Tomaž Gyergyjek (mentor) in', 'dr.\xa0Jernej Kovačič (somentor)']",31238
"['prof. dr. Žiga Šmit', 'prof. dr. Simon Širca', 'prof. dr.\xa0Borut Paul Kerševan', 'doc. dr.\xa0Matej Lipoglavšek\xa0(mentor) in', 'doc. dr.\xa0Matjaž Vencelj\xa0(somentor)']",31955
"['prof. dr. Žiga Šmit', 'doc. dr. Aleš Mohorič', 'prof. dr.\xa0Irena Drevenšek Olenik', 'prof. dr.\xa0Marko Zgonik\xa0(mentor) in', 'dr. Aleksej Majkić (somentor)']",31912
"['prof. dr. Žiga Šmit', 'doc. dr. Aleš Mohorič', 'prof. dr.\xa0Simon Širca', 'prof. dr.\xa0Janez Dolinšek (mentor) in', 'doc. dr. Andrijana Sever Škapin (somentorica)']",31220
"['prof. dr. Žiga Šmit', 'prof. dr. Borut P. Kerševan', 'prof. dr.\xa0Dean Cvetko', 'doc. dr.\xa0Miha Škarabot (mentor) in', 'dr. Erik Zupanič (somentor)']",31882
