sth,title,posted,d_type,timeplace,id
Zagovor zaključne naloge,"Tim Kelhar, Študija zaviralcev amiloidnih bolezni z vibracijsko spektroskopijo",4. 9. 2020,Zagovor diplome na Oddelku za fiziko,"V ponedeljek, 14. septembra, ob 9.00 uri, v predavalnici F1, na Jadranski 19.",31673
Zagovor zaključne naloge Aleks Jakopič,Kontrola dimenzij palic s pomočjo računalniškega vida,11. 12. 2019,Zagovor diplome na Oddelku za fiziko,"v ponedeljek, 16. decembra 2019 ob 13. uri v Kuščerjevem seminarju (4/414), na Jadranski 19.",34001
Zagovor zaključne naloge,"Alen Kahteran, Izdelava in umeritev precizijske tehtnice",14. 11. 2019,Zagovor diplome na Oddelku za fiziko,"v ponedeljek, 18. novembra 2019 ob 12.15 uri v Kuščerjevem seminarju (4. nadstr./414), na Jadranski 19.",34084
Zagovor zaključne naloge Jure Pollak,Testiranje senzorjev za merjenje zasuka,23. 9. 2019,Zagovor diplome na Oddelku za fiziko,"v četrtek, 26. septembra 2019 ob 14.30. uri v predavalnici F-7, na Jadranski 19.",33946
Zagovor zaključne naloge,"Kaja Štojs, Konstrukcija enostavne Kibblove tehtnice za definicijski kilogram",19. 9. 2019,Zagovor diplome na Oddelku za fiziko,"v petek, 20. september 2019 ob 10. uri v Kuščerjevem seminarju, na Jadranski 19.",33940
Zagovor zaključne naloge,"Trina Resnik, Višinomer na težno nihalo",12. 9. 2019,Zagovor diplome na Oddelku za fiziko,"v petek, 13. september 2019 ob 15. uri v Kuščerjevem seminarju, na Jadranski 19.",33931
Zagovor zaključne naloge,"Aleks Prša, Napetostne pore pri celicah v hipotonični raztopini,",11. 9. 2019,Zagovor diplome na Oddelku za fiziko,"v ponedeljek, 16. september 2019 ob 11. uri v Kuščerjevem seminarju, na Jadranski 19.",31669
Zagovor zaključne naloge,"Matej Vereš, Izhodni del protonskega žarka z minimalnim kotnim sipanjem",11. 9. 2019,Zagovor diplome na Oddelku za fiziko,"v ponedeljek, 16. september 2019 ob 9. uri v Kuščerjevem seminarju, na Jadranski 19.",33909
Zagovor zaključne naloge,"Manica Perko, Samourejanje inhibitorja korozije na površini bakra",20. 8. 2019,Zagovor diplome na Oddelku za fiziko,"v petek, 23. avgusta 2019 ob 10.15 uri v Kuščerjevem seminarju, na Jadranski 19.",33823
Zagovor zaključne naloge,"Luka Žgur, Testiranje kakovosti mehanskih stikal",1. 7. 2019,Zagovor diplome na Oddelku za fiziko,"v sredo, 3. julija 2019 ob 10.45 uri v Kuščerjevem seminarju, na Jadranski 19",33763
Zagovor zaključne naloge,"Blaž Milenković, Umeritev in optimizacija nastavitev sistema ABC (Active Breathing Coordinator™) za nadzor dihalne faze med radioterapijo",8. 4. 2019,Zagovor diplome na Oddelku za fiziko,"v četrtek, 11. aprila 2019 ob 15.00 uri v Kuščerjevem seminarju, na Jadranski 19.",33410
Zagovor zaključne naloge,"Jan Kotnik Klovar, Analiza gibanja pozitivnih ionov v plazmi pred negativno ploščato elektrodo, ki oklepa majhen kot s homogenim magnetnim poljem z uporabo simulacij delec v celici",29. 10. 2018,Zagovor diplome na Oddelku za fiziko,"v torek, 30. oktobra 2018 ob 10. 15 v Kuščerjevem seminarju, na Jadranski 19.",33016
Zagovor zaključne naloge,"Davor Grabnar, Analiza lokalnih piezoelektričnih in feroelektričnih lastnosti tankih plasti (K0.5 Na0.5)0.99Sr 0.01 NbO3",21. 9. 2018,Zagovor diplome na Oddelku za fiziko,"v torek, 25. septembra 2018 ob 10. uri v predavalnici F-7 na Jadranski 19.",32905
